algorithm,dataset,n_clusters,init,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score,priority_score,pretrain_epochs,clustering_epochs,damping,convergence_iter,affinity,preference,linkage,input_dim,levels,threshold,branching_factor,maximum_clusters,amount_intervals,density_threshold,number_cluster,number_represent_points,compression,eps,min_samples,ratio,max_n_leaf_nodes,n_clusters_init,dip_merge_threshold,step_size,dip_threshold,n_starting_vectors,ambiguous_triangle_strategy,significance,split_viewers_threshold,pval_strategy,outliers,consider_duplicates,min_n_clusters,max_n_clusters,n_boots,use_principal_components,use_log,n_split_trials,min_cluster_size,metric,leaf_size,pn,max_iter,n_init,k,t,var,bandwidth,bin_seeding,xi,n_projections,n_samples,number_clusters,add_tails,max_cluster_size_diff_factor,amount_clusters,epouch,similarity_matrix,n_neighbors,rows,cols,radius,threshold1,threshold2
aec,wine,3.0,,2.0,{'lr': 0.01},{'lr': 0.0001},42.0,0.8307849652687123,0.7965292806200654,0.9438202247191012,0.2909140494572967,80.78783195721701,1.3377192730673808,0.4277673592038596,0.754444437104659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aec,yeast,10.0,,2.0,{'lr': 0.01},{'lr': 0.0001},42.0,0.1530806316014297,0.2518485247896324,0.5107816711590296,0.1585334186977883,261.9884596704612,1.4688066859179898,0.4050539905388196,0.32891565495688235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,2d10c,,,,,,,0.955561036167932,0.97329263222909,0.9983277591973244,0.770433120613218,47468.9190073007,0.4124225653948637,0.708003415196383,0.9255347981469944,,,0.7,15.0,euclidean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,2d20c,,,,,,,0.9784021212889537,0.9813506226188886,0.988134475939354,0.6587588069897092,5972.862217561858,0.4823312944462684,0.6746130259454277,0.9197441379090624,,,0.8,15.0,euclidean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,2d4c,,,,,,,0.6740949446400174,0.7227254485186789,0.8493626882966396,0.4829410857758281,740.6506241626922,0.754993056443078,0.5698028241927886,0.6994464881485267,,,0.9,15.0,euclidean,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,3spiral,,,,,,,0.1516560634461887,0.4160647789718545,0.907051282051282,0.3928212875664336,243.34201096961988,0.8596844070802308,0.5377256464552687,0.4532112527588047,,,0.6,15.0,euclidean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,aggregation,,,,,,,0.7719087103153236,0.8181597321236598,0.8515228426395939,0.5381733454951385,1212.1397897397214,0.5517027856848772,0.6444533123388243,0.7762951479733368,,,0.9,15.0,euclidean,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,compound,,,,,,,0.718938277418374,0.7669819246868869,0.7393483709273183,0.6052614530197686,774.9125635249359,0.5451864797233253,0.6471710781335959,0.7449248943614831,,,0.7,15.0,euclidean,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,D1,,,,,,,0.9821173784975068,0.9690841238806026,0.994,0.6513859913483638,3027.624938372373,0.4902336582504209,0.6710357093759579,0.917002620785865,,,0.7,15.0,euclidean,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,D2,,,,,,,0.5220894436562793,0.6216365982719259,0.657,0.6369401310458414,2647.264009492139,0.4893529409727723,0.6714325211234679,0.6355815292059517,,,0.7,15.0,euclidean,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
